,name,price,size
75,Aquasept Tab 1x320's,"Rs.6,000",320's
76,Septrivet Tab 1x200's,"Rs.5,000",200's
77,Aab E Naqra Liq 60ml,Rs.70,60ml
78,Kufrid Syp Sugar Free 120ml,Rs.240,120ml
79,Neuromax Syp 200ml,Rs.450,200ml
80,Neuro-X Syp 240ml,Rs.495,240ml
81,Sundrop AD Drops 10ml,Rs.315,10ml...
82,Cell-D Cap 20's,Rs.400,20's
83,Cell-D Cap Plus 2's,Rs.490,2...
84,Moringa Oil For (Hair Care...,"Rs.1,450",100ml
85,Moringa Oil For (Hair Care...,Rs.750,50ml
86,Quinoa Gluten Free Food 500gm,Rs.450,500gm
87,Cerebex Forte tab 30's,Rs.700,30's
88,"D-Sun Cap 50,000IU 10's",Rs.500,10's
89,MPC-D 5000 (Vitamin D3 5000IU)...,Rs.595,30's
90,Vitamin-C Tab 250mg 60's,Rs.650,60's
91,Calfint-D Chewable Tab 10000 IU...,Rs.890,30's
92,Iroplex Tab 30's,Rs.590,30's
93,Piromin Shampoo 120ml,Rs.550,120ml
94,X-Pel Shampoo 120ml,Rs.550,120ml
95,Noxidil Scalpe Solution 60ml,Rs.512,60ml
96,Once A Day Men Tab,Rs.650,20's
97,"Depression, Sleeping Issues Pack","MRP Rs.1,500 5% off Rs.1,425",120's
98,Alopia Hair Food(S) Liq 50ml,Rs.300,50ml...
99,Fibo Powder Sachet,Rs.215,10's
100,Alopia Hair Food Plus(S) Liq...,Rs.300,50ml
101,Alopia Hair Food Plus(M) Liq...,Rs.390,1's
102,Impuls Inj 500mcg 10Amp,Rs.476,10Amp
103,Vitaxon Inj 500mcg 10Amp,Rs.350,10's
104,Kalv Tab 30's,Rs.660,30's
105,Calgae Cap 20's,Rs.360,20's
106,Ortho Magic Cap 30's,"Rs.1,058.82",30's
107,Cara-Fer Inj 100mg 5Vialx5ml,"Rs.1,000",5ml
108,IHP-F Tab 0.35mg 10's,Rs.70,1vial
109,Mecorise Inj 500mcg 10Vialx1ml,Rs.460,20's
110,Ofera Injection 100mg 5Ampx2ml,Rs.925,60ml
111,Osicom-D Susp 60ml,Rs.112.20,10's
112,Zincosyp Syp 20mg/5ml 90ml,Rs.108,20's
113,Isocal Powder 425gm,"Rs.2,930",425g
114,Resource Diabetes 400gm,"Rs.2,440",
115,Calavant-d Syp 120ml,Rs.180,120ml
116,Calavant-d Drops 10ml,Rs.275,10ml
117,Calavant-d Tab 600mg/400iu 30's,Rs.450,30's
118,Zink Tab 60's,Rs.273.50,60...
119,Menora Cap 30's,"Rs.1,058.81",30...
120,Garlicon Cap 30's,Rs.641.03,30's
121,Ginkoba Cap 30's,"Rs.1,102.56",30's
122,Foliz Tab 600mcg 30's,MRP Rs.445 20% off Rs.356,30's
123,Biotin Tab 1000mcg 90's,Rs.950,90's
124,Maltofer Fol Tab 100mg/0.35mg 30â€™s,Rs.468.54,30's
125,Somno 5mg Tab 30's,Rs.400,30's
126,Multivair Tab 30's,Rs.925,30's
127,Calcima Tab 1000mg 30's,MRP Rs.550 20% off Rs.440,30's
128,Stark-D Cap 5000IU/125mcg 30's,MRP Rs.550 50% off Rs.275,30...
129,Stark-D Cap 5000IU/125mcg 60's,Rs.920,60's
130,Follicare Tab 30's,"Rs.2,600",30's
131,OraMel Oral Drops 10ml,Rs.400,10ml
132,Calciget Tab 1000mg 30's,Rs.680,
133,Zescap Caps Soft Gelatin 200...,Rs.117.92,3x10's
134,Zescap Caps Soft Gelatin 200...,Rs.192,10x10's
135,Zescap Caps Soft Gelatin 200...,Rs.393.07,100's
136,Aqvit M Tab,Rs.480,20's
137,Quella Tabs,"Rs.1,240",2x7's
138,Phitofert (Women) Tab 500mg 60's,"Rs.1,700",60's
139,Evion Cap 600mg 10's,Rs.88.87,10'sMarketed...
140,Once A Day Men Tab,Rs.650,20's
141,Vita Silver Tab 20's,MRP Rs.650 5% off Rs.617.50,20's
142,Cavid Cap 20's,Rs.320,20's
143,Enervit Tab 60's,Rs.297.90,14's
144,K-Lot Paediatric 2mg Oral Amp,Rs.101.45,1's
145,K-Lot 10mg/ml I.V Inj,Rs.185,1's
146,Myo-D Sachet,Rs.750,10's
147,Calcifort Powder Sachet 3.24gm/0.30gm 10Æ’??s,Rs.80.82,10's
148,High-C Plus(Orange flavor) Powder Sachet...,Rs.75,10's
149,Locyst Tab,Rs.514.80,30...
150,Mothercare Go Rash Powder Small...,Rs.165,90gm
151,Mothercare Go Rash Powder Large...,Rs.220,90gm
152,Mothercare Baby Oil Small 65Ml,Rs.130,90gm
153,Mothercare Baby Oil Large 200Ml,Rs.300,90gm
154,Mothercare Baby Oil Family 300Ml,Rs.400,90gm
155,Cosmo White Cream 50ml,"Rs.6,199.99",50ml
156,Evion Cap 600mg 10's,Rs.88.87,10'sMarketed...
157,Cal-P Syp 120ml,Rs.72.61,120ml
158,Calchew D Tab 30's,Rs.109.86,30's
159,Min-D Sachet 50000IU 4's,Rs.200,20's
160,Nexbon Tab 0.50mcg 10's,Rs.150,20's
161,Nexbon Tab 0.25mcg 10's,Rs.70,4's
162,Olive-D3 Sachet 2000IU 7's,Rs.89.60,10's
163,Olive-D3 Sachet 4000IU 7's,Rs.140,10's
164,One-Alpha Cap 0.5mcg 30's,"Rs.1,117.03",30's
165,One-Alpha Inj 2mcg 10Ampx0.5ml,"Rs.1,840",10...
166,One-Alpha Drops 2mcg/ml 20ml,"Rs.1,650",20ml
167,D-Vent SoftGel 4's,Rs.800,4's
168,New-D Oral/IM Inj 1ml x...,Rs.110,1amp
169,Sunplus Cap 200000IU 1's,Rs.235,1's
170,D3 Tab 400IU 100's,"Rs.1,405.88",100's
171,D3 Softgels Cap 25mcg(1000IU) 250's,"Rs.3,523.53",250's
172,D3 Softgels Cap 5000IU 150's,"Rs.3,524",150's
173,D3 Softgels Cap 10000IU 72's,"Rs.3,524",72's
174,Sundrop AD Drops 10ml,Rs.315,10ml...
175,Cell-D Cap 20's,Rs.400,20's
176,Cell-D Cap Plus 2's,Rs.490,2...
177,"D-Sun Cap 50,000IU 10's",Rs.500,10's
178,MPC-D 5000 (Vitamin D3 5000IU)...,Rs.595,30's
179,Calfint-D Chewable Tab 10000 IU...,Rs.890,30's
180,Calciget Tab 1000mg 30's,Rs.680,
181,Ostibon Sachet,Rs.336,12's
182,Zariva Tab 600mg 10ƒ??s,Rs.159.51,10's
183,Peg-Intron Inj 50mcg 1Vial,"Rs.6,200",1...
184,Peg-Intron Inj 80mcg 1Vial,"Rs.9,900",1...
185,Peg-Intron Inj 100mcg 1Vial,"Rs.12,000",1...
186,Peg-Intron Inj 120mcg 1Vial,"MRP Rs.14,000 5% off Rs.13,300",1vial
187,Obsarib Cap 400mg 10's,Rs.90,10's
188,Eteva Tab 0.5mg 30's,"Rs.4,000",30's
189,Hepovir Tab 10mg 30's,"Rs.3,510",30's
190,Paniv Tab 300mg 30's,"Rs.3,450",30's
191,Zovirin Tab 400mg 10's,Rs.561.86,10's
192,Tacavir Tab 0.5mg 30's,"Rs.13,300.61",30's
193,Tenovir Tab 300mg 30's,"Rs.3,450",30's
194,Anovir Tab 10mg 30's,"Rs.6,000",30's
195,Carafovir Tab 300mg 1's,Rs.115,1's
196,Carafovir Tab 300mg 30's,"Rs.3,450",30's
197,Entca Tab 0.5mg 3x10's,"Rs.10,200",1vial
198,Gantovir Inj 250mg 1Vial,Rs.958.08,1vial
199,Ribavil Tab 500mg 10's,Rs.100,10's
200,Ceron-Alpha Inj 3MIU 1Vial,Rs.646,10's
201,Ceron-Alpha Inj 5MIU 1Vial,"Rs.1,080",10's
202,Hiferon Inj 3MIU 1Vial,"Rs.1,000",1Vial
203,Tenvir Tab 300mg 30's,"Rs.3,450",30's
204,Intermax alpha 2a Inj 3MIU...,"Rs.1,050",1vial
205,Virunix-B Tab 0.5mg 30's,"Rs.1,529.41",30's
206,Imatet Inj 40IU 10Ampx0.5ml,Rs.554.74,10ampx0.5ml...
207,Amvax B Inj 10mcg 1Ampx0.5ml,MRP Rs.180 5% off Rs.171,0.5ml
208,Amvax B Inj 20mcg 1Ampx1ml,MRP Rs.372 5% off Rs.353.40,1...
209,Imatet Inj 40IU 1Ampx0.5ml,Rs.55.47,1Ampx0.5ml
210,Typbar Inj 10Ampx0.5ml,"Rs.4,770",0.5ml
211,Abhayrab Inj 1Vialx0.5ml,Rs.914,1Vialx0.5ml
212,Engerix-B Inj 10mcg 1PFS,Rs.633.09,1pfs
213,Rotarix Oral Susp 1Vialx1.5ml,"Rs.3,085.04",1vialx1.5ml
214,Hepatitis B Immunoglobulin P Behring...,"Rs.6,212",1vialx1ml
215,Quimi-Hib Vaccine 1Vialx0.5ml,MRP Rs.750 5% off Rs.712.50,1vial
216,Trivac HB IM Inj 1Vial,MRP Rs.299 5% off Rs.284.05,1vial
217,Menveo Inj 1Vialx0.5ml,"Rs.3,100",1's
218,Imovax Polio Inj 1Ampx0.5ml,Rs.424,1...
219,Typhim Inj 1PFSx0.5ml,Rs.515.78,0.5ml
220,Verorab Inj 1Vialx0.5ml,Rs.964.68,50ml
221,Shanvac-B Vaccine 20mcg 10Vialx1ml,"Rs.2,600",10...
222,Menactra Inj 1Vial,"Rs.4,266.43",1's
223,Shanvac-B Vaccine 20mcg 1Vialx1ml,Rs.260,1Vialx1ml
224,Prevenar 13V IM Inj 1PFSx0.5ml,"Rs.6,855.78",1pfsx0.5ml
225,Revac B Inj 20mcg 1Ampx1ml,Rs.260,1Ampx1ml...
226,Sinovac Vaccine (Flu Vaccine) 1PFS,"Rs.3,000",1...
227,Influvac TETRA Inj 1PFSx0.5ml,"Rs.1,989",1PFSx0.5ml
228,CRAN-D Sachets 10's,Rs.400,10's
229,Ultra Cranberry Tab 30's,Rs.850,30's
230,Carodek Powder Sachets 10's,Rs.435,10's
231,Cenova Tab 200mg 14's,Rs.425,14's
232,Lian Cranberry Flavour Sachet 10's,Rs.350,10's
233,Lian Syrup 120ml,Rs.335,120...
234,Cranberry Formula Cap 20's,Rs.750,20's
235,U-Trex Powder Sachet 10's,Rs.250,10's
236,Urobiol Cap 20's,Rs.700,20...
237,Ranberi Powder Sachet 250mg 10's,Rs.250,10's
238,Howaberry Sachet 10's,Rs.320,10's
239,Cran Max Powder Sachet 10's,Rs.325,10's
240,Cranberry Softgels Cap 120's,"Rs.1,994",120's
241,Riocran Powder Sachet 10's,Rs.325,10’s
242,Titrazole Cap 20mg 14's,Rs.153.18,14's
243,Zolpip Cap 40mg 14's,Rs.213.04,14's
244,Esobert Cap 20mg 14's,Rs.135,14...
245,Esobert Cap 40mg 14's,Rs.225,14's
246,Ajizole Cap 20mg 14's,Rs.119,2×7's
247,Ajizole Cap 40mg 14's,Rs.198,2×7's
248,Pantil Tab 40mg 14's,Rs.372,14's
249,Rezz Cap 20mg 10's,Rs.193,10...
250,Rezz Cap 20mg 20's,Rs.350,20's
251,Elois Cap 20mg 14's,Rs.191.70,14's
252,Elois Cap 40mg 14's,Rs.259.50,14's
253,Acicon Tab 40mg 10's,Rs.237.60,10's
254,Acicon Tab 20mg 10's,Rs.130.29,10's
255,Helezol Cap 20mg,Rs.189,14's
256,Ruling Cap 40mg,Rs.344,14's
257,Esso Cap 40mg,Rs.400,14's
258,Esso Cap 20mg,Rs.235.23,14's
259,Famot Tab 20mg,Rs.234,20's
260,Famot Tab 40mg 10Æ’??s,Rs.228,10's
261,Eraze Tab 20mg,Rs.217,10...
262,Helezol Cap 40mg 14â€™s,MRP Rs.230 5% off Rs.218.50,14's
263,Esgerd Cap 20mg 14â€™s,MRP Rs.119 5% off Rs.113.05,14's
264,Esgerd Cap 40mg 14â€™s,MRP Rs.198 5% off Rs.188.10,14's
265,Rezz Cap 20mg,Rs.193,10...
266,Rifin Tab 150mg 48's,Rs.234.36,
267,Pyrazid Tab 500mg 5x10's,MRP Rs.337.85 5% off Rs.320.96,50's
268,Rifa 4 Plus Tab 10x10's,"MRP Rs.2,114.22 5% off Rs.2,008.51",100's
269,Rifapin-H 300 Tab 150/300mg 10x10's,"Rs.1,756.33",10x10's
270,Rifa-4 Tab 10x10's,"MRP Rs.1,946.41 5% off Rs.1,849.09",100's
271,Rifapin-H 450 Tab 10x10's,"MRP Rs.2,742.12 5% off Rs.2,605.01",10x10's
272,Rifapin-H Dry Syp 50ml,MRP Rs.119 5% off Rs.113.05,50ml
273,Rifapin-H Junior Powder Sachet 1x30's,Rs.290,1x30's
274,Rifazol Junior Powder Sachet 1x30's,Rs.367,30's
275,Rifatol Tab 10x10's,"MRP Rs.1,567.49 5% off Rs.1,489.12",10x10's
276,Rifazol Pediatric Tab 10x10's,MRP Rs.919 5% off Rs.873.05,100's
277,Schazobutol-H Tab 10x10's,"Rs.1,066.49",100's
278,Rifapin-H 300 Tab 150/300mg 1x10's,Rs.175.64,10's
279,Myrin-P Forte Tab 10x8's,"Rs.1,324.29",80's
280,Rin Tab 48's,Rs.230,48's
281,Rin Tab 100's,Rs.442,100's
282,Rin Tab 500's,"Rs.2,208",500's
283,Rifampicin+INH Cap 30's,Rs.168.41,30's
284,Rifampicin+INH Cap 8's,Rs.44.59,8's
285,Rifampicin Cap 150mg 48's,Rs.154.33,48's
286,Rifampicin Cap 150mg 8's,Rs.25.72,8's
287,Rifampicin Cap 450mg 8's,Rs.67.85,8's
288,Rifampicin Cap 450mg 30's,Rs.254.65,30's
289,Rifampicin Syp 100mg/5ml 60ml,Rs.42.95,60ml
290,Fluorouracil Cream 2% 30gm,Rs.480,30gm...
291,Cyine-B Gel 10g,Rs.230,14's
292,Fusiway Cream 20mg 15g,Rs.165,10's
293,Fusiway-H Cream 15g,Rs.210,15g
294,Isobact Cream 1% 10g,Rs.35,30's
295,Isobact Cream 1% 5g,Rs.20,14's
296,Myxole Cream 2% 10g,Rs.70,10g
297,Myxole Lotion 2% 60ml,Rs.217,10's
298,OnychoNil Nail Paint 20ml,Rs.798,20ml...
299,Clindacure Cap 300mg 16's,Rs.280,30's
300,Fucicort Cream 15gm,Rs.431.15,15g
301,Fucidin Cream 2% 15gm,Rs.356.50,15gm
302,Fucidin Oint 2% 15gm,Rs.356.50,15g
303,Fucidin H Cream 15gm,Rs.541,15gm
304,Daktacort Cream 10gm (Aspin),Rs.123.73,1's
305,Daktacort Cream 10gm,Rs.124,10gm
306,Daktarin Cream 2% 10gm,Rs.124.92,10gm
307,Nizoral Cream 2% 10gm,Rs.163.13,10g
308,Kanadex-N Cream 15g,Rs.35,15g
309,Silvagray Cream 1% 20g,Rs.40,20g
310,Lamisil Cream 1% 10g,Rs.276.59,10g
311,Hydrozole Cream 20g,Rs.222.23,20g
312,Husidin Cream 15gm,Rs.165,15gm
313,Husicort H Cream 15gm,Rs.210,15gm
314,Permivate Lotion 20ml,Rs.230,20ml
315,Omron Gentle Temp 720 1's,"Rs.14,800",1's
316,Digital Thermometer CTA -302 Device...,Rs.500,1's
317,Thermometer Safety 1's,Rs.260,1's
318,Thermometer Temperature Gun 1's,"Rs.18,000",1'sMarketed...
319,Beurer Ear Thermometer FT-65 1's,"Rs.5,250",1's...
320,Ferinil Tab 500mg 50's,"Rs.1,480",50's
321,Asunra Tab 100mg 30's,"Rs.2,658.80",30's
322,Asunra Tab 400mg 30's,"Rs.10,635.20",30...
323,Oderox Tab 500mg 30's,"Rs.10,720",30's
324,Capsidon Cap 100mg 100's,MRP Rs.569 5% off Rs.540.55,100's
325,Capsidon Cap 100mg 6's,Rs.34.18,6's
326,Doxicap Cap 100mg 10x10's,MRP Rs.400 5% off Rs.380,100's
327,Jawamycin Tab 100mg 1x100's,MRP Rs.133 5% off Rs.126.35,100's
328,Jawamycin Tab 100mg 10x10's,MRP Rs.200 5% off Rs.190,100's
329,Jawamycine Cap 100mg 10x10's,MRP Rs.280 5% off Rs.266,100's
330,Supramycin Cap 100mg 10x10's,MRP Rs.794.58 1% off Rs.788.62,10x10's
331,Doxydix Cap 100mg 5X10's,Rs.200,60's
332,Doxydix Cap 100mg 10X10's,Rs.390,30's
333,Vibramycin Cap 100mg 6x20's,"Rs.1,014",120's
334,Adoxa Tab 100mg 3x10's,Rs.194,3x10's
335,Nordox Cap 100mg 5x6's,Rs.213,30's
336,Rapidox Cap 100mg 100's,MRP Rs.270 15% off Rs.229.50,100's
337,Dekomycin Cap 100mg 10x10's,MRP Rs.460 5% off Rs.437,100's
338,Voxin Tab 100mg 2x10's,Rs.106.78,20's
339,Monodox Cap 100mg 3x10's,Rs.111,30's
340,Ridox Cap 100mg 50's,MRP Rs.200 5% off Rs.190,50's
341,Xylin Cap 100mg 5x10's,Rs.200,50's
342,Xylin Cap 100mg 10x10's,Rs.390,100's
343,Xylin Tab 100mg 10x10's,Rs.386,100's
344,Slocycline Cap 100mg 10x6's,Rs.412.08,60's
345,Doxycycline Cap 100mg 10x10's,Rs.400,10x10's
346,Doxinep Cap 100mg 5x10's,Rs.200,5x10's
347,Doxinep Cap 100mg 10x10's,Rs.390,10x10's
348,Disposable Face Mask (EE-FM4) Black...,Rs.4.27,1's
349,Adults Surgical Face Mask 19x9cm...,Rs.5.98,1's
350,Adults Surgical Face Mask 19x9cm...,Rs.299.15,50's
351,Maxpro Latex Examination Gloves Medium...,"Rs.1,850",100's
352,Maxpro Latex Examination Gloves Large...,"Rs.1,850",100's
353,Surgical Scissors & Forceps Set...,Rs.226.50,1's
354,PPE Protection Suit,Rs.500,1's
355,Duramask Sunflower Yellow Designer Mask...,Rs.200,1'sManufacturer:...
356,Duramask Windsor (Dm030) Kn95 Designer...,Rs.200,1'sManufacturer:...
357,Duramask Grey Camouflage Mask 1'S,Rs.200,1'sManufacturer:...
358,LSA Surgical Face Mask 50's...,Rs.280,50's ...
359,LSA Surgical Face Mask 1's...,Rs.6,1...
360,LSA Surgical Face Mask 50's,Rs.250,50's ...
361,LSA Surgical Face Mask 1's,Rs.5,1's ...
362,Duramask Classic Ajrak Ethnic Collection...,Rs.200,1'sManufacturer:...
363,Bluple Nitrile Medical Examination Gloves,"Rs.2,250",100's
364,Gauze Swab Sponges Sterilized 10cmx10cm...,Rs.50,10cmx10cm...
365,Gauze Sterilized 5cmx5cm,Rs.310,50's
366,Gauze Non Sterilize,Rs.400,100's
367,Cotton Bandage 15cmx4m 12's,MRP Rs.480 5% off Rs.456,12's
368,Cotton Bandage 15cmx5m 12's,MRP Rs.600 5% off Rs.570,12's
369,Gauze Swab Sponges Sterilized 15cmx15cm...,"MRP Rs.1,000 5% off Rs.950",15cmx15cm...
370,Gauze Swab Sponges Non Sterlize...,MRP Rs.425 5% off Rs.403.75,10's
371,LSA Surgical Face Mask (Melt...,Rs.6,1...
372,Syringe Cutter with Steel Handle...,Rs.500,1's
373,Pessary Ring Size 61 1's,"Rs.1,500",1's
374,Pessary Ring Size 62 1's,"Rs.1,500",1's
375,Alcohol Pads 200's,Rs.400,200's
376,Surgical Tape 4 inch 3's,Rs.540,3's
377,Nebulizer Kit Adult 1's,Rs.250,1's
378,Protector Antimicrobial Lab Coat,"Rs.1,287",1's
379,Face Mask Box 3 ply...,Rs.819.99,50's
380,Safety Disposable Latex Examination Gloves...,"Rs.1,850",100's
381,Safety Disposable Latex Examination Gloves...,"Rs.1,850",100's
382,Respiflow Disposable Protective Face Mask...,Rs.427.35,50...
383,General Protective Disposable Premium Face...,Rs.400,50's Generic...
384,Disposable Face Mask Box (EE-FM3)...,Rs.250.01,50's Generic...
385,General Protective Disposable Premium Face...,Rs.80,10'sÂ...
386,Respiflow Disposable protective Face Mask...,Rs.100,10'sÂ...
387,Disposable Face Mask Pack (EE-FM3)...,Rs.59.83,10's
388,Disposable Face Mask (EE-FM3) 1's,Rs.5.98,1's
389,Gauze Swab Sponges Sterilized 10cmx10cm...,Rs.50,10cmx10cm...
390,Gauze Sterilized 5cmx5cm,Rs.310,50's
391,Gauze Non Sterilize,Rs.400,100's
392,Cotton Bandage 15cmx4m 12's,MRP Rs.480 5% off Rs.456,12's
393,Cotton Bandage 15cmx5m 12's,MRP Rs.600 5% off Rs.570,12's
394,Gauze Swab Sponges Sterilized 15cmx15cm...,"MRP Rs.1,000 5% off Rs.950",15cmx15cm...
395,Gauze Swab Sponges Non Sterlize...,MRP Rs.425 5% off Rs.403.75,10's
396,Syringe Cutter with Steel Handle...,Rs.500,1's
397,Pessary Ring Size 61 1's,"Rs.1,500",1's
398,Pessary Ring Size 62 1's,"Rs.1,500",1's
399,Alcohol Pads 200's,Rs.400,200's
400,Surgical Tape 4 inch 3's,Rs.540,3's
401,Nebulizer Kit Adult 1's,Rs.250,1's
402,Protector Antimicrobial Lab Coat,"Rs.1,287",1's
403,Face Mask Box 3 ply...,Rs.819.99,50's
404,Safety Disposable Latex Examination Gloves...,"Rs.1,850",100's
405,Safety Disposable Latex Examination Gloves...,"Rs.1,850",100's
406,Respiflow Disposable Protective Face Mask...,Rs.427.35,50...
407,General Protective Disposable Premium Face...,Rs.400,50's Generic...
408,Disposable Face Mask Box (EE-FM3)...,Rs.250.01,50's Generic...
409,General Protective Disposable Premium Face...,Rs.80,10'sÂ...
410,Respiflow Disposable protective Face Mask...,Rs.100,10'sÂ...
411,Disposable Face Mask Pack (EE-FM3)...,Rs.59.83,10's
412,Disposable Face Mask (EE-FM3) 1's,Rs.5.98,1's
413,Gauze Swab Sponges Sterilized 10cmx10cm...,Rs.50,10cmx10cm...
414,Gauze Sterilized 5cmx5cm,Rs.310,50's
415,Gauze Non Sterilize,Rs.400,100's
416,Cotton Bandage 15cmx4m 12's,MRP Rs.480 5% off Rs.456,12's
417,Cotton Bandage 15cmx5m 12's,MRP Rs.600 5% off Rs.570,12's
418,Gauze Swab Sponges Sterilized 15cmx15cm...,"MRP Rs.1,000 5% off Rs.950",15cmx15cm...
419,Syringe Cutter with Steel Handle...,Rs.500,1's
420,Pessary Ring Size 61 1's,"Rs.1,500",1's
421,Pessary Ring Size 62 1's,"Rs.1,500",1's
422,Alcohol Pads 200's,Rs.400,200's
423,Surgical Tape 4 inch 3's,Rs.540,3's
424,Nebulizer Kit Adult 1's,Rs.250,1's
425,Protector Antimicrobial Lab Coat,"Rs.1,287",1's
426,Face Mask Box 3 ply...,Rs.819.99,50's
427,Safety Disposable Latex Examination Gloves...,"Rs.1,850",100's
428,Safety Disposable Latex Examination Gloves...,"Rs.1,850",100's
429,Respiflow Disposable Protective Face Mask...,Rs.427.35,50...
430,General Protective Disposable Premium Face...,Rs.400,50's Generic...
431,Disposable Face Mask Box (EE-FM3)...,Rs.250.01,50's Generic...
432,General Protective Disposable Premium Face...,Rs.80,10'sÂ...
433,Respiflow Disposable protective Face Mask...,Rs.100,10'sÂ...
434,Disposable Face Mask Pack (EE-FM3)...,Rs.59.83,10's
435,Disposable Face Mask (EE-FM3) 1's,Rs.5.98,1's
436,Gauze Swab Sponges Sterilized 10cmx10cm...,Rs.50,10cmx10cm...
437,Gauze Sterilized 5cmx5cm,Rs.310,50's
438,Gauze Non Sterilize,Rs.400,100's
